"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"079E6726-EAF9-7770-92537BA708A7D696","Pat Murnane's Irish Pub","2101 S Main  ST ","WAKE FOREST ","NC","27587","","","19195625570"

"07AF62B1-CFE4-B82A-57CE42A324E9E64E","POLAR ICE HOUSE","1410 BUCK JONES RD ","RALEIGH","NC","27606","","","19194602756"

"082054EE-036C-19FC-4F864F10D111D508","TGI Friday's","2002 Kildaire Farm RD ","CARY","NC","27511","","","19192338883"

"085BF69A-3048-983B-2641CA581B73E5BF","FLIK INTERNATIONAL AT FIDELITY","11000 WESTON PKY ","CARY","NC","27513","","","19194589264"

"087D3E93-D57B-FAA4-E8C47A3916C49EDA","The Grille At Goodnight's & Goodnight's Comedy Club","861 W Morgan ST ","RALEIGH","NC","27603","","","111111111111111"

"08A5D2BA-3048-9838-FC96F889B762BA98","Rush Lounge","7361 SIX FORKS RD ","RALEIGH","NC","27615","","","19198484782"

"08B080BE-95E8-63F4-3A3FB5E8F57CEE9F","Carillon Assisted Living of Knightdale Dining","2408  HODGE RD ","KNIGHTDALE","NC","27545","","","19192666676"

"08BE77F0-BD78-5B44-23A13EBF2F5FB0C4","PIEBIRD","618 N PERSON ST ","RALEIGH","NC","27604","","","19195087612"

"08C8DB62-F40E-0251-F00B00951468069F","SAS BUILDING C CAFE","820 SAS CAMPUS DR ","CARY","NC","27513","","","19195318651"

"08FB1466-DF49-AD63-9BAD02404B09A9C0","SUBWAY #50592","601 N MAIN ST ","HOLLY SPRINGS","NC","27545","","","19195574411"

"09001E9C-D5DC-8D29-3B8577684E81ADD8","ANZIO'S PIZZA","252 SOUTHTOWN CIR ","ROLESVILLE","NC","27571","","","19195548881"

"09064FBA-F51A-70A9-5EF49F9709F54CDC","THAI CAFE #2","3309 ROGERS RD ","WAKE FOREST","NC","27587","","",""

"0955966E-B707-AD2C-284027D6708858FD","El Tapatio #4","4511 New Bern AVE","RALEIGH","NC","27610","","","19192559161"

"09C7AEAE-E078-149F-E8394F82D33BE4FC","Wendy's #11610583","4023 Davis DR","MORRISVILLE","NC","27560","","","19194603966"

"09CD5F39-BB6A-3A29-5521E52514E45641","Red Dragon","4051 Davis DR","MORRISVILLE","NC","27560","","","19193881836"

"09DD3249-C3D9-D51B-CDC29F7B05CA93DF","NIGHT KITCHEN BAKERY","10 W. FRANKLIN STREET","RALEIGH","NC","27604","","","19842328907"

"09F0350C-DCDB-B721-22A3A56A050176ED","HARRIS TEETER #257 STARBUCKS","2080 KILDAIRE FARM ROAD","CARY","NC","27518","","","19192339483"

"0A0205D6-9B17-15A1-A3CE3BE3FCCB54EA","TAZIKI'S RTP","7161 O'KELLY CHAPEL ROAD","CARY","NC","27519","","","19193712693"

"0A13BA57-C174-0E85-6B07EA03485E77D6","ACRO CAFE","11 W JONES ST ","RALEIGH","NC","27601","","","19197337450"

"0A34A22A-1422-201B-19C3CA251CE423A7","BRUEGGERS BAGELS #24","6274 GLENWOOD AVE ","RALEIGH","NC","27612","","","19198812626"

"0A45A024-1422-201B-19D5ABA79D67ACF5","BRUEGGERS BAGELS #143","7550-106 CREEDMOOR RD ","RALEIGH","NC","27613","","","19198484902"

"0AAFCC59-CA38-9890-89731E940F61BA1F","THE BLISTERED PIG SMOKEHOUSE","225 N. SALEM STREET","APEX","NC","27502","","","19194463366"

"0ADF44D6-945D-E172-89AC65F2DFE2C98B","HYATT HOUSE FOOD SERVICE","10962 CHAPEL HILL RD ","MORRISVILLE","NC","27560","","","19193885355"

"0AF8005B-CE16-CCE0-932AFBE166566596","WING STOP #816","7880 ALEXANDER PROMENADE PLACE","RALEIGH","NC","27617","","","19192373919"

"0B0F9737-D86D-0F22-B093900D48E2C603","SMASHBURGER","6679-105 FALLS OF NEUSE ROAD","RALEIGH","NC","27615","","","19198709230"

"0B2C513A-A8D1-22A5-27B591901FCF70F5","CHICK-FIL-A #2181","801 VILLAGE WALK  DR ","HOLLY SPRING","NC","27540","","","19195670060"

"0B381E71-ADE8-82F3-FC739593FA1C1AC3","BOJANGLES #5","3301 S WILMINGTON ST ","RALEIGH","NC","27603","","","19197724512"

"0B4D3655-9183-E0D4-0A8CDF1A87CBBD98","TIJUANA FLATS #138","1310 E MILLBROOK RD ","RALEIGH","NC","27609","","","19197906409"

"0B61CA48-DE79-9641-365232D17ECEDF22","TROPICAL SMOOTHIE 020 NC","817 BASS PRO LN ","CARY","NC","27513","","","19193789333"

"0B8CAD6F-9F39-6789-01B377329CF62C1A","MoonRunners Saloon","1506 US 70 HWY W ","GARNER","NC","27529","","","19196625119"

"0B9E3D12-B11A-1C55-EB0FCC2E3CD46B23","EURO CAFE","2101 S MAIN ST ","WAKE FOREST","NC","27587","","","19197615002"

"0C5157D2-CADC-8E92-01BEB1637A2B053F","Keith's BBQ and Catering","13037 Keith Store  RD ","WAKE FOREST","NC","27587","","","19196186211"

"0CE3979B-A039-CFC3-6B304DD3542E0063","TAQUERIA CINCO DE MAYO","2259 New Hope Church RD ","RALEIGH","NC","27604","","","19194224933"

"0CE827B2-FB6C-25E8-380B5FB77583D6F5","Dunkin Donuts-Baskin Robbins PC#342343","2316 Hillsborough St Ste 106","RALEIGH","NC","27607","","","19198385255"

"0CEBE91D-EDAB-D86D-EBC7B29B3EBEF7EF","LITTLE HEN","5160 SUNSET LAKE  RD ","APEX","NC","27539","","","19193630000"

"0CF9098D-D402-284E-2FA0C5F24F9614D3","JASMIN BISTRO","3801 HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19198351626"

"0D049F23-D914-645B-5BBE16D45F81FC73","TENKO JAPAN","6325 FALLS OF NEUSE  RD ","RALEIGH","NC","27615","","","19198764545"

"0D0D9797-A3E9-42A7-C99E0AF1DFCD579A","WILD WING CAFE","2300 WALNUT  ST ","CARY","NC","27518","","","19198030578"

"0D17A191-EA58-02A6-1C12593EEF72A0B7","Pruitt Health - Raleigh Dining","2420 Lake Wheeler RD","RALEIGH","NC","27603","","","19197550226"

"0D71A75D-D665-A0EF-807BCD025AE2BAEC","BISCUITVILLE #184","4305 FAYETTEVILLE RD ","GARNER","NC","27529","","","19198038112"

"0D781320-0196-91B6-45AA697DB1F4C78C","DUNKIN DONUTS 348408","13600 NEW FALLS OF NEUSE RD ","RALEIGH","NC","27614","","","19195560335"

"0D86CC38-90AB-504B-CFE662D40469FA11","Zoes Kitchen","1028 OBERLIN RD ","RALEIGH","NC","27605","","","19198380909"

"0F37B006-D4E2-7054-55DA2C161E83A4F1","FRESH AND FRY SEAFOOD","2822 NEW BIRCH  DR ","RALEIGH","NC","27610","","","19196152898"

"0F4A8769-E8E3-7D8E-4F40C8675263904D","THE LATIN CORNER","421 CHAPANOKE RD ","RALEIGH","NC","27603","","","19192648584"

"0F7B6ECB-A771-FCF4-C152187E370E220E","Crazy Fire Mongolian Grill #8","7201 Old Wake Forest RD ","RALEIGH","NC","27616","","","19198769000"

"0F8E60EF-FA47-2FA8-36EBB349C4007C6F","FIREWURST","823 BASS PRO  LN ","RALEIGH","NC","27513","","","19192340822"

"0FCF1A50-B262-BB45-84CBD85EF5804DB5","Shuck'em Shack","1177 TIMBER DR E ","GARNER","NC","27529","","","19197727035"

"0FECEB45-B2AE-76E8-77671B9858BA5FD6","RUDINO'S PIZZA & GRINDERS SPORTS CORNER","3101-101 EDWARDS MILL RD ","RALEIGH","NC","27612","","","19197864235"

"10059478-C540-1703-0F2CFAA3AD7FFDD8","BRAVO'S MEXICAN GRILL","208 GRANDE HEIGHTS DR ","CARY","NC","27513","","","19194813811"

"100B15EA-15E7-74FA-752DECAD5927606A","PHO CALI","3310 CAPITAL  BLVD ","RALEIGH","NC","27604-3340","","","19198787898"

"100F694A-86A1-1842-7C1118D2F49043EE","MCDONALDS #32242","7100 GB ALFORD HWY ","HOLLY SPRINGS","NC","27540","","","19195524071"

"10127DC9-0238-9FD7-DCABFDBB56041886","UNCORKED","105-111 SHADOWLAWN DR ","RALEIGH","NC","27614","","","111111119198"

"102567C8-158A-D963-9E3C131A45EECF63","Arby's #6554","1031 Harrison AVE ","CARY","NC","27513","","","19194691887"

"10260","ROLY POLY","201  E HARGETT ST ","RALEIGH","NC","27601","","","111111111111111"

"10268","Umstead Hotel & Spa Pool Bar","100 Woodland Pond DR ","CARY","NC","27513","","","111111111111111"

"102BD5D6-9918-1501-C0F310627A616BAB","GOLDEN CHINA CHINESE RESTAURANT","2432 SW CARY PKY ","CARY","NC","27513","","","19193807891"

"1030ABD8-A8BB-ED7D-5D3813B21B3A6BF4","Rudino's","5217 Sunset Lake RD ","HOLLY SPRINGS","NC","27540","","","111111111919"

"104FD68A-10FF-100C-00D0DB759282A0B7","GINO'S PIZZA","6260 GLENWOOD AVE ","RALEIGH","NC","27612-2650","","","19197837555"

"10526","Capital Cabaret","6713 Mt Herman  RD ","MORRISVILLE","NC","27560","","","111111111111111"

"10561","C. GRACE","407 GLENWOOD AVE ","RALEIGH","NC","27603","","","111111111111111"

"10626B94-E736-E0A3-C0AAC0FC7FDC80D8","CAPPOLLA'S PIZZA & GRILL","2462 WALNUT ST ","CARY","NC","27518","","","19198547777"

"106E3C03-EFF1-EF8E-D1429DE4181BAB2F","Chick-fil-A #792","6701 FALLS OF NEUSE RD ","RALEIGH","NC","27615-5373","","","19198454556"

"1071EE5E-1226-9DA3-B05A180D943822C3","WAFFLE HOUSE #378","3909 HILLSBOROUGH ST","RALEIGH","NC","27607-5217","","","19198331247"

"10799","FLASHBACKS SPORTSBAR & LOUNGE","4004 CAPITAL BLVD ","RALEIGH","NC","27604","","","111111111111111"

"107A6D1D-103F-C532-FBE5DA646999368F","KOKO's Italian Kitchen","8306 Chapel Hill RD ","CARY","NC","27513","","","19194613882"

