business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
FA0000326,"PAPA JOHN'S PIZZA","10570 FOOTHILL BL UNIT 130",RANCHO CUCAMONGA,CA,91730,34.1067230000,-117.5742420000,9097926812

FA0000327,"PAPA JOHN'S PIZZA ","3330 GRAND AV STE D",CHINO HILLS,CA,91709,34.0027450000,-117.7316510000,9096278185

FA0000330,"MIMI'S CAFE","395 E HOSPITALITY LN ",SAN BERNARDINO,CA,92408,34.0659790000,-117.2771280000,9098904333

FA0000332,"DEL TACO ","4340 MILLS CR",ONTARIO,CA,91761,34.0733200000,-117.5526100000,9094648411

FA0000334,"TACO BELL ","2201 S MOUNTAIN AV ",ONTARIO,CA,91762,34.0335790000,-117.6687680000,9093916685

FA0000335,"ARCO AMPM","7325 SIERRA AV ",FONTANA,CA,92336,34.1207740000,-117.4357420000,9098547474

FA0000336,"POPEYES LOUISIANA KITCHEN ","2460 S VINEYARD AV ",ONTARIO,CA,91761,34.0289310000,-117.6111340000,8182302203

FA0000338,"JERSEY MIKE'S SUBS","3330 GRAND AV STE E",CHINO HILLS,CA,91709,34.0025270000,-117.7324650000,9093429028

FA0000339,"RUBIO'S FRESH MEXICAN GRILL","3330 GRAND AV G",CHINO HILLS,CA,91709,34.0027610000,-117.7314880000,9095173050

FA0000343,"EMPANADAS TO GO","12345 MOUNTAIN AV STE D",CHINO,CA,91710,34.0285460000,-117.6671860000,9095911140

FA0000344,"DOMINO'S ","10431 LEMON ST ",RANCHO CUCAMONGA,CA,91730,34.1395270000,-117.5774850000,9099897777

FA0000345,"CHEVRON ","3260 WAGON TRAIN RD ",PHELAN,CA,92371,34.4445100000,-117.5923690000,7602494575

FA0000346,"BENIHANA","3760 E INLAND EMPIRE BL ",ONTARIO,CA,91764,34.0689080000,-117.5706530000,9094830937

FA0000352,"AUTO CLUB SPEEDWAY CAFE","2900 E AIRPORT DR ",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099758008

FA0000353,"COFFEE BEAN & TEA LEAF ","2900 E AIRPORT DR ",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099758008

FA0000357,"CHINO HILLS 76 / CIRCLE K","6510 BUTTERFIELD RANCH RD",CHINO HILLS,CA,91709,33.9301390000,-117.6630320000,9096066633

FA0000358,"DARLA'S CAKE DESIGN","3330 GRAND AV STE A",CHINO HILLS,CA,91709,34.0028750000,-117.7312410000,9095908303

FA0000363,"LEISURE SHORES","24658 SAN MORITZ DR ",CRESTLINE,CA,92325,34.2384640000,-117.2643020000,9093385036

FA0000364,"ANTONIOUS PIZZA RESTAURANT","1580 BARTON RD STE C",REDLANDS,CA,92373,34.0473270000,-117.2081820000,9093350173

FA0000369,"MARISCOS LA BAHIA","1517 N BAKER AV ",ONTARIO,CA,91764,34.0854730000,-117.6199940000,9099858405

FA0000370,"MR YOU CHINESE FOOD","978 N MOUNTAIN AV ",ONTARIO,CA,91762,34.0756870000,-117.6699640000,9099842858

FA0000371,"NEW YORK GRILL","950 N ONTARIO MILLS DR ",ONTARIO,CA,91764,34.0745720000,-117.5471980000,9099871928

FA0000373,"CHEVRON ","12659 FOOTHILL BL ",RANCHO CUCAMONGA,CA,91739,34.1060780000,-117.5284450000,9098992799

FA0000374,"PAPA JOHN'S PIZZA ","770 TENNESSEE AV ",REDLANDS,CA,92374,34.0624810000,-117.1999700000,9097487272

FA0000376,"APPLE VALLEY GAS & MARKET","15333 RANCHERIAS RD ",APPLE VALLEY,CA,92307,34.5302380000,-117.2254410000,7602425513

FA0000382,"CARL'S JR ","15669 MAIN ST ",HESPERIA,CA,92345,34.4242990000,-117.3211920000,

FA0000387,"EDISON SHELL","4107 EDISON AV ",CHINO,CA,91710,33.9967480000,-117.7147740000,9096139011

FA0000409,"BAKER'S BURGERS ","16062 FOOTHILL BL ",FONTANA,CA,92335,34.1066720000,-117.4546250000,9098545741

FA0000414,"AUTHOR'S BOOKSTORE TERMINAL 2","2500 E AIRPORT DR STE 2365",ONTARIO,CA,91761,34.0622570000,-117.5997130000,9099379835

FA0000415,"AUTHOR'S BOOKSTORE TERMINAL 4","2900 E AIRPORT DR STE 2365",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099379835

FA0000416,"CALIFORNIA & CO TERMINAL 2","2500 E AIRPORT DR STE 2365",ONTARIO,CA,91761,34.0622570000,-117.5997130000,9099379835

FA0000418,"CALIFORNIA & CO TERMINAL 4","2900 E AIRPORT DR STE 2365",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099379835

FA0000422,"NEWS CONNECTION CENTER TERMINAL 4","2900 E AIRPORT DR STE 2365",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099379835

FA0000424,"PAPA JOHN'S PIZZA ","12615 CENTRAL AV ",CHINO,CA,91710,34.0242970000,-117.6891230000,9094641713

FA0000425,"SEE'S CANDIES","5074 PLAZA LN 20",MONTCLAIR,CA,91763,34.0851550000,-117.6946740000,9096210487

FA0000427,"IHOP ","2575 E HIGHLAND AV ",SAN BERNARDINO,CA,92404,34.1358600000,-117.2379090000,9094259035

FA0000431,"OLD MINER'S CAFE","36600 GHOST TOWN RD ",YERMO,CA,92398,34.9049050000,-116.8285180000,7602543323

FA0000433,"HEALTHY START NUTRITION","16727 BEAR VALLEY RD STE 150",HESPERIA,CA,92345,34.4707270000,-117.2986370000,7609487886

FA0000440,"LA QUINTA INN & SUITES","3555 INLAND EMPIRE BL ",ONTARIO,CA,91764,34.0712770000,-117.5727240000,9094761112

FA0000441,"MCDONALD'S ","4210 E HIGHLAND AV ",HIGHLAND,CA,92346,34.1359440000,-117.1971920000,9098642146

FA0000442,"RT 66 CAFE TERMINAL 4","2900 E AIRPORT DR ",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099758008

FA0000443,"SCHLOTZKY'S TERMINAL 4","2900 E AIRPORT DR ",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099758008

FA0000444,"PRODUCTION KITCHEN TERMINAL 4","2900 E AIRPORT DR ",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099758008

FA0000445,"EL PASEO MEXICAN RESTAURANT TERMINAL 4","2900 E AIRPORT DR ",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099758008

FA0000447,"EL PASEO MEXICAN RESTAURANT TERMINAL 2","2500 E AIRPORT DR ",ONTARIO,CA,91761,34.0622570000,-117.5997130000,9099758008

FA0000448,"SCHLOTZKY'S TERMINAL 2","2500 E AIRPORT DR ",ONTARIO,CA,91761,34.0622570000,-117.5997130000,9099758008

FA0000450,"KING TUT II","2627 E HIGHLAND AV ",HIGHLAND,CA,92346,34.1357190000,-117.2299970000,9094250525

FA0000452,"CARL'S JR","2900 E AIRPORT DR STE 2190",ONTARIO,CA,91761,34.0622880000,-117.5941790000,9099758004

FA0000455,"A-1 SHELL","9524 FOOTHILL BL ",RANCHO CUCAMONGA,CA,91730,34.1068130000,-117.5976210000,9099873500

FA0000457,"FAMILY HOME STYLE CAFE","24735 REDLANDS BL ",LOMA LINDA,CA,92364,35.3358620000,-115.4025680000,9094789996

FA0000458,"PETRA SHELL FOODMART","1677 DEVORE RD ",DEVORE,CA,92407,34.2235710000,-117.4029500000,9098807888

FA0000467,"COCO'S BAKERY RESTAURANT","1683 S RIVERSIDE AV",RIALTO,CA,92376,34.0710190000,-117.3700740000,9098779270

FA0000468,"JENSEN / TRAILER","1340 ST HWY 2 ",WRIGHTWOOD,CA,92397,34.3608340000,-117.6320800000,7602493322

FA0000469,"JACK IN THE BOX ","2620 FISHER BL ",BARSTOW,CA,92311,34.8544910000,-117.0829460000,7602535335

FA0000471,"LAYMON CANDY CO  INC","276 E COMMERCIAL RD ",SAN BERNARDINO,CA,92408,34.0562600000,-117.2799530000,9098254408

FA0000475,"ARROWHEAD REGIONAL MEDICAL CENTER","400 N PEPPER AV",COLTON,CA,92324,34.0719730000,-117.3527360000,9095800030

