business_id,score,date,type
09FOOD-0159,100,20141118,routine

09FOOD-0160,100,20140821,routine

09FOOD-0162,100,20150609,followup

09FOOD-0162,90,20150609,routine

09FOOD-0162,96,20141124,routine

09FOOD-0162,98,20140519,routine

09FOOD-0163,100,20150529,routine

09FOOD-0163,100,20150217,routine

09FOOD-0163,100,20141104,routine

09FOOD-0163,100,20140729,routine

09FOOD-0163,100,20140428,routine

09FOOD-0164,98,20141124,routine

09FOOD-0166,96,20150316,followup

09FOOD-0166,91,20150316,routine

09FOOD-0166,93,20140930,routine

09FOOD-0166,86,20140401,routine

09FOOD-0168,98,20150416,routine

09FOOD-0168,98,20141107,routine

09FOOD-0168,100,20140417,routine

09FOOD-0169,99,20150608,routine

09FOOD-0169,98,20150114,routine

09FOOD-0169,98,20140930,routine

09FOOD-0169,97,20140929,routine

09FOOD-0169,96,20140514,routine

09FOOD-0169,96,20140114,routine

09FOOD-0170,100,20150316,followup

09FOOD-0170,79,20150309,routine

09FOOD-0170,100,20141114,followup

09FOOD-0170,81,20141113,routine

09FOOD-0170,92,20140407,routine

09FOOD-0171,87,20150302,routine

09FOOD-0171,99,20141013,routine

09FOOD-0171,86,20140306,routine

09FOOD-0173,70,20150413,routine

09FOOD-0176,95,20150112,routine

09FOOD-0176,96,20140714,routine

09FOOD-0176,95,20140317,routine

09FOOD-0177,100,20150429,routine

09FOOD-0177,100,20141117,routine

09FOOD-0177,100,20140318,routine

09FOOD-0178,94,20150306,routine

09FOOD-0180,98,20150618,routine

09FOOD-0180,98,20141121,routine

09FOOD-0181,100,20150528,routine

09FOOD-0181,98,20150209,routine

09FOOD-0181,100,20141029,routine

09FOOD-0181,99,20140618,routine

09FOOD-0181,98,20140129,routine

09FOOD-0182,93,20150317,routine

09FOOD-0182,95,20141028,routine

09FOOD-0182,96,20140624,followup

09FOOD-0182,89,20140624,routine

09FOOD-0182,96,20140113,routine

09FOOD-0183,98,20150421,routine

09FOOD-0183,90,20141202,routine

09FOOD-0183,96,20140428,routine

09FOOD-0184,97,20150406,routine

09FOOD-0184,92,20141010,routine

09FOOD-0184,98,20140729,routine

09FOOD-0184,89,20140324,routine

09FOOD-0185,100,20150403,routine

09FOOD-0185,100,20141204,routine

09FOOD-0185,100,20140612,followup

09FOOD-0185,100,20140425,routine

09FOOD-0186,98,20150330,routine

09FOOD-0186,97,20140722,routine

09FOOD-0186,97,20140408,routine

09FOOD-0187,95,20150313,routine

09FOOD-0187,98,20140729,routine

09FOOD-0187,98,20140408,routine

09FOOD-0189,100,20150423,routine

09FOOD-0189,100,20140801,routine

09FOOD-0189,100,20140418,routine

09FOOD-0191,100,20150416,routine

09FOOD-0191,100,20141028,routine

09FOOD-0191,98,20140408,routine

09FOOD-0192,89,20150424,routine

09FOOD-0192,88,20141204,routine

09FOOD-0192,95,20140429,routine

09FOOD-0197,100,20140820,routine

09FOOD-0201,100,20140821,routine

09FOOD-0202,92,20150309,routine

09FOOD-0202,100,20141015,routine

09FOOD-0202,96,20140624,routine

09FOOD-0207,95,20150204,routine

09FOOD-0207,95,20140820,routine

09FOOD-0207,90,20140521,routine

09FOOD-0207,92,20140127,routine

09FOOD-0208,79,20150610,routine

09FOOD-0208,84,20150129,routine

09FOOD-0208,92,20141003,followup

09FOOD-0208,79,20140923,routine

09FOOD-0208,84,20140513,routine

09FOOD-0208,90,20140123,routine

09FOOD-0212,99,20141029,routine

09FOOD-0213,98,20150424,routine

09FOOD-0214,100,20150421,routine

09FOOD-0214,100,20141216,routine

09FOOD-0214,98,20140827,routine

09FOOD-0214,91,20140319,routine

09FOOD-0215,84,20150611,routine

09FOOD-0215,97,20150211,routine

09FOOD-0215,94,20141015,routine

09FOOD-0215,96,20140603,routine

09FOOD-0215,97,20140225,routine

09FOOD-0223,97,20150422,routine

09FOOD-0223,100,20141110,routine

09FOOD-0223,94,20140721,routine

09FOOD-0224,99,20150609,routine

09FOOD-0224,98,20150331,routine

09FOOD-0224,89,20141020,routine

09FOOD-0224,100,20140501,followup

09FOOD-0224,82,20140421,routine

09FOOD-0227,95,20150403,routine

09FOOD-0227,97,20141022,routine

09FOOD-0227,98,20140424,routine

09FOOD-0229,100,20150302,routine

09FOOD-0229,100,20141119,routine

09FOOD-0229,100,20140805,routine

09FOOD-0229,97,20140430,routine

09FOOD-0231,82,20150319,routine

09FOOD-0231,92,20141114,routine

09FOOD-0231,99,20140512,followup

09FOOD-0231,86,20140428,routine

09FOOD-0232,98,20150317,routine

09FOOD-0232,93,20141117,routine

09FOOD-0232,98,20140324,routine

09FOOD-0233,92,20150302,followup

09FOOD-0233,85,20150211,routine

09FOOD-0233,87,20141003,routine

09FOOD-0233,95,20140520,routine

09FOOD-0233,91,20140123,followup

09FOOD-0233,74,20140123,routine

09FOOD-0235,83,20150225,followup

09FOOD-0235,74,20150217,routine

09FOOD-0235,90,20140627,routine

09FOOD-0237,92,20150507,routine

09FOOD-0237,93,20150121,routine

09FOOD-0237,94,20140708,routine

09FOOD-0237,93,20140325,routine

09FOOD-0240,91,20150324,routine

09FOOD-0240,100,20141124,routine

09FOOD-0240,92,20140730,routine

09FOOD-0240,100,20140625,routine

09FOOD-0241,100,20150508,followup

09FOOD-0241,84,20150505,routine

09FOOD-0241,82,20150120,routine

09FOOD-0241,87,20140728,routine

09FOOD-0241,90,20140404,routine

09FOOD-0242,100,20150212,routine

09FOOD-0243,98,20150512,routine

09FOOD-0243,100,20141108,routine

09FOOD-0243,100,20140624,routine

09FOOD-0244,95,20150115,routine

09FOOD-0244,90,20140617,routine

09FOOD-0244,100,20140321,followup

09FOOD-0244,89,20140320,routine

09FOOD-0245,92,20150609,routine

09FOOD-0245,89,20150129,routine

09FOOD-0245,85,20141002,routine

09FOOD-0245,86,20140609,routine

09FOOD-0245,87,20140218,routine

09FOOD-0246,97,20150225,routine

09FOOD-0246,90,20140709,routine

09FOOD-0246,97,20140205,routine

09FOOD-0247,88,20150330,routine

09FOOD-0247,86,20141105,routine

09FOOD-0247,97,20140805,followup

09FOOD-0247,65,20140724,routine

09FOOD-0247,86,20140408,routine

09FOOD-0249,97,20150107,routine

09FOOD-0249,95,20141104,routine

09FOOD-0249,87,20140422,routine

09FOOD-0251,98,20150612,followup

09FOOD-0251,80,20150601,routine

09FOOD-0251,88,20150211,routine

09FOOD-0251,82,20141015,routine

09FOOD-0251,80,20140521,routine

09FOOD-0251,84,20140121,routine

09FOOD-0252,96,20150309,routine

09FOOD-0252,100,20141121,routine

09FOOD-0252,100,20140808,routine

09FOOD-0252,99,20140418,routine

09FOOD-0253,91,20150302,routine

09FOOD-0253,87,20141021,routine

09FOOD-0253,87,20140616,routine

09FOOD-0253,94,20140416,routine

09FOOD-0258,100,20150310,routine

09FOOD-0258,99,20141020,routine

09FOOD-0258,98,20140303,routine

09FOOD-0259,100,20150521,routine

09FOOD-0259,100,20141112,routine

09FOOD-0259,96,20140506,routine

09FOOD-0260,100,20141104,routine

09FOOD-0260,98,20140605,routine

09FOOD-0261,100,20150603,routine

09FOOD-0261,100,20141107,routine

09FOOD-0261,98,20140507,routine

09FOOD-0262,100,20150604,routine

09FOOD-0262,100,20141105,routine

09FOOD-0262,94,20140506,routine

09FOOD-0263,99,20150603,routine

09FOOD-0263,99,20140507,routine

09FOOD-0264,100,20150605,routine

09FOOD-0264,98,20141015,routine

09FOOD-0264,98,20140506,routine

09FOOD-0265,97,20150310,routine

09FOOD-0265,97,20141020,routine

09FOOD-0265,94,20140425,routine

09FOOD-0266,99,20150310,routine

09FOOD-0266,94,20141020,routine

09FOOD-0266,99,20140303,routine

09FOOD-0268,97,20150317,routine

09FOOD-0268,100,20141125,routine

09FOOD-0268,99,20140506,routine

09FOOD-0269,95,20150305,routine

09FOOD-0269,93,20141027,routine

09FOOD-0269,95,20140304,routine

09FOOD-0270,99,20150116,routine

09FOOD-0270,100,20141022,routine

09FOOD-0270,93,20140506,routine

09FOOD-0271,100,20150212,routine

09FOOD-0271,100,20141028,routine

