"business_id","score","date","description","type"
"PR0170061","96","20160216","","Routine"

"PR0120944","92","20150401","","Routine"

"PR0045842","92","20150227","","Routine"

"PR0172767","94","20151223","","Routine"

"PR0121976","90","20160328","","Routine"

"PR0152084","97","20160222","","Routine"

"PR0017957","90","20151027","","Routine"

"PR0035537","97","20141008","","Routine"

"PR0151457","91","20151029","","Routine"

"PR0041383","97","20141204","","Routine"

"PR0009104","93","20160127","","Routine"

"PR0005049","100","20150615","","Routine"

"PR0000174","97","20150210","","Routine"

"PR0150296","100","20150204","","Routine"

"PR0003723","100","20140924","","Routine"

"PR0009522","96","20160401","","Routine"

"PR0035884","97","20140612","","Routine"

"PR0037978","98","20150915","","Routine"

"PR0038002","97","20150603","","Routine"

"PR0041960","92","20160201","","Routine"

"PR0129690","96","20140716","","Routine"

"PR0007435","93","20150202","","Routine"

"PR0002766","90","20160503","","Routine"

"PR0015581","91","20160516","","Routine"

"PR0149390","100","20160204","","Routine"

"PR0001737","93","20150129","","Routine"

"PR0030810","98","20160404","","Routine"

"PR0017361","90","20151229","","Routine"

"PR0122080","94","20150410","","Routine"

"PR0007388","95","20140708","","Routine"

"PR0022211","93","20150422","","Routine"

"PR0167287","91","20150714","","Routine"

"PR0036095","96","20151123","","Routine"

"PR0024489","98","20160217","","Routine"

"PR0017283","90","20151226","","Routine"

"PR0020593","99","20150407","","Routine"

"PR0042513","94","20151123","","Routine"

"PR0013991","99","20150325","","Routine"

"PR0018652","98","20140814","","Routine"

"PR0148660","91","20150803","","Routine"

"PR0033324","92","20150421","","Routine"

"PR0024619","99","20150917","","Routine"

"PR0031536","99","20141008","","Routine"

"PR0001974","94","20140910","","Routine"

"PR0015605","93","20160516","","Routine"

"PR0003989","92","20160204","","Routine"

"PR0156752","90","20151114","","Routine"

"PR0160927","97","20150407","","Routine"

"PR0034866","91","20141006","","Routine"

"PR0015362","94","20150618","","Routine"

"PR0148468","93","20140811","","Routine"

"PR0129772","96","20150812","","Routine"

"PR0017810","97","20140605","","Routine"

"PR0031568","94","20140623","","Routine"

"PR0047064","93","20151216","","Routine"

"PR0152086","90","20160323","","Routine"

"PR0150026","93","20141028","","Routine"

"PR0042066","95","20151124","","Routine"

"PR0018534","90","20160224","","Routine"

"PR0147189","87","20160406","","Routine"

"PR0158200","100","20151208","","Routine"

"PR0024041","94","20140708","","Routine"

"PR0034190","90","20140908","","Routine"

"PR0001805","96","20150528","","Routine"

"PR0157421","100","20151022","","Routine"

"PR0008108","93","20150915","","Routine"

"PR0015087","90","20150611","","Routine"

"PR0035353","90","20150114","","Routine"

"PR0149790","96","20151119","","Routine"

"PR0156610","93","20150624","","Routine"

"PR0008807","96","20150129","","Routine"

"PR0013449","97","20151013","","Routine"

"PR0038676","93","20150223","","Routine"

"PR0002498","95","20160425","","Routine"

"PR0160546","75","20150324","","Routine"

"PR0024528","91","20150526","","Routine"

"PR0013658","96","20160325","","Routine"

"PR0030469","98","20151109","","Routine"

"PR0044789","95","20160212","","Routine"

"PR0123250","98","20150923","","Routine"

"PR0047911","95","20150311","","Routine"

"PR0039140","97","20160218","","Routine"

"PR0028879","95","20151217","","Routine"

"PR0123424","86","20160113","","Routine"

"PR0021604","91","20160218","","Routine"

"PR0034032","97","20160119","","Routine"

"PR0153529","95","20160114","","Routine"

"PR0047360","97","20140910","","Routine"

"PR0042141","92","20141215","","Routine"

